"","swatch","animal_rating_ind"
"1","BI2A00046",-2.4375
"2","BI2A00039",-2.1875
"3","BI2A00035",-2.125
"4","BI2A00044",-2.125
"5","BI2A00041",-2.0625
"6","BI2A00033",-2
"7","BI2A00043",-2
"8","BI2A00021",-1.9375
"9","BI2A00029",-1.875
"10","BI2A00017",-1.8125
"11","BI2A00036",-1.8125
"12","BI2A00045",-1.8125
"13","BI2A00048",-1.8125
"14","BI2A00032",-1.6875
"15","BI2A00031",-1.625
"16","BI2A00040",-1.625
"17","BI2A00047",-1.625
"18","BI2A00038",-1.5625
"19","BI2A00042",-1.5625
"20","BI2A00027",-1.4375
"21","BI2A00030",-1.4375
"22","BI2A00034",-1.375
"23","BI2A00018",-1.25
"24","BI2A00023",-1.125
"25","BI2A00037",-1.125
"26","BI2A00028",-0.875
"27","BI2A00025",-0.8125
"28","BI2A00022",-0.5625
"29","BI2A00014",-0.375
"30","BI2A00016",-0.125
"31","BI2A00012",-0.0625
"32","BI2A00001",0.1875
"33","BI2A00010",0.25
"34","BI2A00026",0.25
"35","BI2A00015",0.375
"36","BI2A00019",0.4375
"37","BI2A00024",0.5
"38","BI2A00020",0.8125
"39","BI2A00013",0.875
"40","BI2A00007",1.25
"41","BI2A00009",1.25
"42","BI2A00005",1.3125
"43","BI2A00006",1.375
"44","BI2A00004",1.4375
"45","BI2A00002",1.5
"46","BI2A00003",1.6875
"47","BI2A00008",1.9375
"48","BI2A00011",2.0625
